Loans,Loan requests,tick,Banks,Total central bank loans,Total cash & reserve,Total client loans,Total current accounts,Total interbank loans,Total securities,Total term deposits
287,19542,171,338,1063510.42099024,825416.365223169,3203196.51097809,2361976.57940267,425346.560205992,3605476.82879992,2317446.14800585
280,3991,172,336,1030968.46380154,716218.645918029,2853309.53079624,2019342.6163158,394671.240959398,3581506.43046627,2209893.60322874
233,37536,173,334,1256847.52291017,832110.632030275,3007682.97794979,2189613.73965517,423809.851615068,3560807.7096597,2065723.17323693
217,491,174,334,1195841.39129825,1125026.75862139,3000764.04428128,2181670.52693632,296297.732054401,3566295.64199624,2425134.71372155
220,719,175,333,1053354.32982247,732509.450348925,2776968.20813369,1963368.06734224,411149.093609341,3555808.85103661,2159448.48513925
213,27784,176,332,1054925.23255527,834352.730000381,2740972.26253069,1933095.68211319,403025.491799193,3546637.98379718,2245356.89165458
207,375,177,330,1029081.78491539,840243.559780399,2751701.18581562,1957727.28811023,383509.902926662,3521435.13978709,2239344.56638197
272,737,178,330,1021384.31123167,904599.293462118,2679626.07927981,1884167.25503686,357623.480112881,3521920.51089687,2312289.60516194
228,20183,179,330,970920.887349608,801285.864250674,2995745.53368955,2258634.25328994,393371.434792086,3523770.52576384,2210170.30605349
332,29526,180,329,1003401.22057957,818442.914562822,3164277.50748253,2431862.36832455,386643.898416386,3528015.37324806,2195961.13826947
226,383,181,329,957524.135862004,935655.736005457,3010254.56736411,2275660.92810009,330644.570985554,3530315.89907872,2361765.29421732
286,1460,182,329,907700.088056222,672821.950580442,2855648.7231167,2118269.6718312,462006.328871897,3530354.30684372,2159268.25813219
359,20283,183,328,1078350.71668661,870760.982060958,2838050.32001005,2103145.74740737,393237.591628533,3520258.21640254,2172423.0419294
249,648,184,327,1056132.11672237,994074.667103662,3168259.14541803,2417648.1468649,450156.109683285,3514462.88779664,2317789.56554635
178,321,185,327,989832.826163814,851432.694168147,2893836.74390509,2140156.04742415,331413.263341841,3515365.13483361,2243647.96483379
